"","DOHREGION","EBLADDER","EBONE","EBRAIN","EBREAST","ECOLORECTA","EESOPHAGUS","EKIDNEY","ELARYNX","ELEUKEMIA","ELIVER","ELUNG","EMESOTHELI","ENASAL","ENHL","EORAL","EOTHER","EOVARY","EPANCREAS","EPROSTATE","ESTOMACH","ETESTIS","ETHYROID","ETISSUE","ETOTAL","EUTERUS","HBLADDER","HBONE","HBRAIN","HBREAST","HCOLORECTA","HESOPHAGUS","HKIDNEY","HLARYNX","HLEUKEMIA","HLIVER","HLUNG","HMESOTHELI","HNASAL","HNHL","HORAL","HOVARY","HPANCREAS","HPROSTATE","HSTOMACH","HTESTIS","HTHYROID","HUTERUS","LATITUDE","LONGITUDE","OBLADDER","OBONE","OBRAIN","OBREAST","OCOLORECTA","OESOPHAGUS","OKIDNEY","OLARYNX","OLEUKEMIA","OLIVER","OLUNG","OMESOTHELI","ONASAL","ONHL","OORAL","OOTHER","OOVARY","OPANCREAS","OPROSTATE","OSTOMACH","OTESTIS","OTHYROID","OTOTAL","OUTERUS","TISSUE","TISSUE0","YEAR","AI_TOT","A_TOT","B_TOT","F_TOT","HH_SIZE","HU_OCC","HU_VAC","H_TOT","MU_TOT","M_TOT","NH_TOT","O_TOT","PI_TOT","POP_TOT","POVOVER","POVUNDER","TOT_HSPLUS","TOT_LT_HS","W_TOT","inc_breast","log_offset","obs_inc","pred_cases_breast"
"319","360610118001",2.42584,0.0751499,0.58005,7.04387,4.84618,0.502034,1.49504,0.368384,1.29708,0.728322,6.59323,0.0946315,0.061728,2.08447,0.940295,6.89674,0.739951,1.37551,6.68451,0.893121,0.231998,1.38816,0.299171,49.3291,1.68363,-1,0,0,0,-1,0,0,0,0,1,0,-1,0,0,0,0,0,0,-1,0,0,0,40.765773,-73.962045,2,0,1,6,6,1,1,0,1,1,6,0,0,1,0,15,0,2,7,0,1,0,53,2,0,0,2009,0,100,31,818,1.538784067,954,120,62,13,650,1406,12,0,1468,1257,14,1055,56,1312,733.49633252,1.952157735,0.8518044768,8.78160201852113
"320","360610118002",2.91534,0.0712577,0.601135,7.43041,5.69861,0.58806,1.63397,0.412381,1.49076,0.803352,7.4926,0.114081,0.0700084,2.30842,1.02821,7.71602,0.79637,1.64676,7.94105,1.05281,0.140951,1.25633,0.318922,55.3094,1.7816,-1,0,0,0,-1,0,0,0,0,1,0,-1,0,0,0,0,0,0,-1,0,0,0,40.767026,-73.961123,7,0,0,6,1,0,2,0,1,0,8,0,1,3,1,15,0,4,9,1,0,1,61,1,0,0,2009,0,62,16,750,1.803030303,726,156,29,14,559,1280,4,0,1309,1018,20,984,9,1213,800,2.0055810389,0.8074924533,8.55725812632172
"321","360610118003",1.41843,0.0420562,0.32166,3.43373,2.60587,0.286988,0.823524,0.210237,0.726318,0.403616,3.59751,0.0566479,0.0337838,1.12501,0.513483,3.71384,0.361343,0.740744,4.07062,0.495068,0.107862,0.710561,0.163796,26.7931,0.830433,-1,0,0,0,-1,0,0,0,0,1,0,-1,0,0,0,0,0,0,-1,0,0,0,40.766399,-73.961581,3,0,1,7,2,0,0,1,0,1,3,0,0,0,0,12,0,0,3,0,0,1,34,0,0,0,2009,0,20,11,455,1.964114833,418,42,28,11,367,794,3,0,822,1015,31,746,0,777,1538.4615385,1.2336471339,2.038599424,3.76784497504269
"322","360610118004",2.41524,0.0873242,0.628504,7.93636,4.88553,0.510141,1.56777,0.386976,1.34084,0.754296,6.85938,0.0949099,0.0660711,2.17563,0.994447,7.15224,0.829789,1.37996,6.92341,0.897346,0.241146,1.62205,0.322235,52.0286,1.95695,-1,0,0,0,-1,0,0,0,0,1,0,-1,0,0,0,0,0,0,-1,0,0,0,40.765429,-73.95928,2,0,2,8,5,1,2,0,2,2,8,0,0,6,2,5,3,0,10,1,1,4,71,6,1,0,2009,2,134,15,1044,1.73960396,1010,131,67,29,713,1690,13,0,1757,1703,91,1329,14,1564,766.2835249,2.0714547319,1.0080187895,9.31557987151949
"323","360610118007",1.35789,0.0254434,0.241403,3.38239,2.7371,0.259179,0.701366,0.169674,0.67014,0.341387,3.58201,0.0526954,0.0300728,1.03812,0.424632,3.50371,0.371873,0.80412,3.04754,0.484491,0.0299626,0.419708,0.128816,24.6206,0.81691,-1,0,0,0,-1,0,0,0,0,1,0,-1,0,0,0,0,0,0,-1,0,0,0,40.765139,-73.962495,1,0,0,10,2,0,0,0,2,0,8,0,0,0,0,8,1,1,3,1,0,1,41,3,0,0,2009,0,15,5,251,1.552529183,257,319,25,2,148,374,0,0,399,738,67,661,41,377,3984.063745,1.2185825602,2.9564893463,4.19947141266832
"324","360610118008",1.62258,0.0412375,0.334664,3.776,2.96273,0.325962,0.903495,0.234884,0.80419,0.44201,4.10304,0.0655767,0.0375525,1.2448,0.565496,4.09144,0.399229,0.850168,4.55773,0.558301,0.0999267,0.69244,0.173883,29.8315,0.94422,-1,0,0,0,-1,0,0,0,0,1,0,-1,0,0,0,0,0,0,-1,0,0,0,40.764522,-73.962953,2,0,0,8,2,0,2,0,0,0,0,0,0,0,1,5,4,0,5,0,0,3,35,0,3,0,2009,0,78,6,415,1.871670702,413,217,64,6,358,709,6,0,773,564,19,499,0,677,1927.7108434,1.3286652483,2.1186440678,4.25998024726316
"325","360610119001",2.11366,0.03047,0.309962,1.79496,3.03288,0.454028,1.07837,0.338253,0.811923,0.576802,4.68072,0.0861367,0.0391487,1.26251,0.676205,3.88881,0.192489,0.881486,8.61081,0.644991,0.045617,0.416435,0.1611,32.6061,0.478315,-1,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,-1,0,0,0,40.756715,-73.984602,3,0,0,0,3,1,0,0,1,2,13,0,0,0,1,3,0,2,11,1,0,0,44,2,1,0,2009,1,28,152,146,1.149870801,387,22,84,19,299,361,23,0,445,229,239,345,123,222,0,0.5849827376,0,2.51481620727879
"326","360610119002",1.58569,0.0376941,0.329712,2.50481,2.66096,0.377221,1.04654,0.309202,0.716412,0.589074,3.81352,0.0607112,0.0396527,1.22183,0.734708,3.64502,0.252744,0.737914,6.86238,0.543595,0.127086,0.658422,0.16962,29.6594,0.634856,-1,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,-1,0,0,0,40.757913,-73.987438,0,0,1,3,2,0,0,1,0,1,6,0,0,1,0,4,1,2,4,1,0,0,28,1,0,0,2009,7,29,232,232,1.053042122,641,23,119,32,443,556,32,0,675,372,213,511,74,343,1293.1034483,0.9182128834,1.1976956336,3.61282097384165
"327","360610120001",1.60256,0.0463693,0.376954,4.72032,3.17213,0.331486,0.977408,0.242337,0.855265,0.475897,4.45914,0.0632843,0.0405506,1.35222,0.60891,4.4104,0.494904,0.908636,4.39946,0.581168,0.110916,0.82144,0.189962,32.4417,1.19994,-1,0,0,0,-1,0,0,0,0,1,0,-1,0,0,0,0,0,0,-1,0,0,0,40.766885,-73.963729,4,0,0,6,2,0,1,0,2,1,8,0,0,1,1,11,0,0,9,2,0,3,52,1,0,0,2009,3,28,2,491,1.94143167,461,79,21,14,404,874,1,0,895,829,0,727,0,847,1221.9959267,1.5518765939,1.2711002644,5.21500509435112
"328","360610120002",2.42679,0.0506776,0.445709,5.03345,4.23204,0.485823,1.30302,0.349167,1.11409,0.645059,6.076,0.0981744,0.0519088,1.74979,0.796599,5.68179,0.531999,1.22156,7.17906,0.808307,0.0869853,0.859544,0.231224,42.7396,1.2808,-1,0,0,0,-1,0,0,0,0,1,0,-1,0,0,0,0,0,0,-1,0,0,0,40.765333,-73.96488,0,0,0,7,3,0,1,0,1,0,5,0,0,2,0,5,0,2,6,0,0,0,34,2,0,0,2009,0,52,9,473,1.726899384,487,146,34,12,392,831,4,0,865,600,84,648,0,788,1479.9154334,1.6161056337,1.3906962421,5.93075721101536
